px,py,psi,v,steer_value,throttle_value
108.299,-55.7282,2.15319,59.3779,-0.00829344,1
106.228,-52.6064,2.16272,60.2072,-0.0117477,1
103.785,-49.0144,2.17587,61.1409,-0.010364,1
101.258,-45.4004,2.18939,62.0598,-0.00780989,1
98.6482,-41.7646,2.20147,62.9638,-0.00472052,1
95.9658,-38.1024,2.20997,63.8531,0.000862337,1
93.2362,-34.3969,2.20863,64.7251,0.0176717,1
89.1476,-28.6995,2.18393,65.8868,0.0235752,0.953259
86.8676,-25.3617,2.1613,63.2021,0.0242421,0
84.2231,-21.2339,2.12144,59.1221,0.0420634,0
81.9405,-17.2659,2.06577,55.1336,0.0551254,0
79.8689,-13.0305,1.98799,50.8169,0.0643112,0
78.5813,-9.77872,1.91455,47.4371,0.0804443,0
77.4581,-5.90373,1.8056,43.3016,0.100015,0
76.9471,-2.98228,1.70914,40.0811,0.110732,0
76.76,-0.250271,1.60756,36.9356,0.122632,0
76.853,2.26427,1.50311,33.8524,0.133529,0
77.1944,4.53787,1.39946,30.8591,0.13933,0
77.7404,6.58917,1.3,29.4478,0.141317,0.165857
78.5127,8.59699,1.19669,30.7144,0.140083,1
79.5362,10.6038,1.09009,32.1211,0.130986,1
80.6347,12.339,1.00034,33.3468,0.109268,1
81.9096,14.0455,0.919697,34.5612,0.0850541,1
83.3464,15.7188,0.849351,35.7543,0.0703094,1
84.9344,17.3539,0.786642,36.9259,0.0648274,1
86.6642,18.9479,0.730613,38.0816,0.0533499,1
88.5234,20.5034,0.682618,39.2223,0.0392176,1
90.4995,22.0262,0.642769,40.3445,0.0301372,1
92.5837,23.5206,0.608922,41.4496,0.0277063,1
94.7688,24.9898,0.579743,42.5387,0.0224918,1
97.0474,26.4396,0.55546,43.6129,0.0156263,1
99.7571,28.0811,0.533379,44.8211,0.0115662,1
102.215,29.5089,0.517416,45.8616,0.0111651,1
105.118,31.1351,0.501851,47.0327,0.00921197,1
107.737,32.5568,0.490469,48.0416,0.00657643,1
111.205,34.3895,0.478961,49.3175,0.00444162,1
113.978,35.8227,0.471978,50.2936,0.00332818,1
116.405,37.0594,0.467326,51.1191,0.00147593,1
119.292,38.5155,0.463666,52.0692,-0.000348076,1
122.661,40.2025,0.461673,53.1383,-0.0015753,1
125.665,41.7046,0.462284,54.0592,-0.00514447,1
128.717,43.2384,0.465564,54.9666,-0.00738498,1
131.813,44.811,0.471198,55.861,-0.00818232,1
134.947,46.4287,0.479002,56.7422,-0.0098447,1
139.483,48.8338,0.494549,57.9784,-0.0126753,1
142.689,50.5978,0.509976,58.8265,-0.0198367,1
145.909,52.4445,0.530196,59.6618,-0.0224479,1
149.132,54.3864,0.55397,60.4854,-0.0219866,1
152.81,56.7352,0.584844,61.4106,-0.0242736,1
156.887,59.5429,0.625226,61.5063,-0.0290089,0.497102
160.318,62.1109,0.665542,58.347,-0.0340778,0
163.809,64.9778,0.716078,54.3906,-0.0423891,0
166.583,67.5032,0.765267,50.9555,-0.0462942,0
169.338,70.3061,0.824169,47.1865,-0.0510108,0
171.715,73.0515,0.886782,43.5098,-0.0590384,0
173.517,75.4283,0.946357,40.3202,-0.0686402,0
175.034,77.7305,1.00978,37.2012,-0.0778201,0
176.304,79.9876,1.07642,36.3158,-0.0844642,0.669361
177.422,82.3838,1.1522,37.5499,-0.0902691,1
178.264,84.6203,1.22598,38.6731,-0.0948614,1
179.037,87.3286,1.31669,39.9394,-0.0952213,1
179.522,89.8199,1.39978,41.0313,-0.0941672,1
179.832,92.787,1.49666,42.2616,-0.0906043,1
179.853,96.2473,1.60559,43.6192,-0.0856743,1
179.624,99.0041,1.68817,44.6552,-0.0776232,1
179.082,102.199,1.77703,45.8306,-0.0675974,1
178.371,105.014,1.85017,46.8431,-0.063335,1
177.446,107.834,1.91892,47.8425,-0.0565965,1
176.142,111.046,1.9912,48.9705,-0.0491029,1
174.796,113.837,2.04974,49.9409,-0.0460401,1
173.035,116.996,2.11167,51.0349,-0.0407573,1
170.79,120.498,2.17507,52.2451,-0.03575,1
168.282,123.938,2.23293,53.433,-0.0327694,1
166.161,126.564,2.27523,54.3418,-0.0312197,1
163.56,129.508,2.322,55.3635,-0.0313097,1
161.133,132.024,2.3625,56.243,-0.0318447,1
157.037,135.848,2.42687,57.599,-0.0322622,1
153.845,138.513,2.47422,58.5659,-0.0316553,1
150.907,140.755,2.51564,59.3993,-0.0306104,1
147.389,143.202,2.56284,60.3365,-0.0300158,1
144.174,145.237,2.60419,61.143,-0.0302719,1
140.348,147.429,2.6515,62.0508,-0.0294825,1
136.366,149.469,2.69847,62.9438,-0.0281586,1
132.246,151.346,2.74486,63.5399,-0.0277977,0.822069
128.557,152.839,2.78508,63.5633,-0.0280861,0.499208
124.281,154.361,2.83075,63.3589,-0.028492,0.431094
119.954,155.682,2.87615,63.1938,-0.0283778,0.467442
116.116,156.678,2.9157,63.549,-0.0279653,0.826177
112.207,157.528,2.95553,64.2494,-0.0280606,1
107.645,158.317,3.00157,65.1042,-0.0280055,1
103.578,158.842,3.042,65.8411,-0.0271763,1
98.853,159.247,3.08782,66.6709,-0.0258391,1
94.0558,159.442,3.13286,67.4863,-0.0248497,1
88.5855,159.409,3.18191,68.389,-0.0230081,1
84.2858,159.201,3.21837,69.0804,-0.0205546,1
79.3319,158.775,3.25735,69.859,-0.0180856,1
74.968,158.245,3.28906,70.5305,-0.0167536,1
69.3241,157.358,3.32684,71.3803,-0.0152519,1
64.2816,156.386,3.3578,72.123,-0.0137663,1
59.8528,155.402,3.38277,72.764,-0.0121065,1
54.775,154.135,3.40896,73.4857,-0.0109735,1
49.682,152.725,3.4332,74.1959,-0.0106347,1
45.2148,151.379,3.45306,74.8083,-0.00995337,1
40.0987,149.72,3.47436,75.4979,-0.00915981,1
34.9725,147.937,3.49445,76.1764,-0.00888692,1
30.4803,146.279,3.5113,76.761,-0.00891642,1
25.3402,144.275,3.53015,77.419,-0.00907061,1
20.1959,142.156,3.5487,78.0665,-0.00872802,1
15.0496,139.924,3.5668,78.7034,-0.00836062,1
9.90328,137.581,3.58456,79.33,-0.00837732,1
5.40234,135.44,3.60012,79.8696,-0.00879391,1
0.263676,132.889,3.6181,80.4767,-0.00891525,1
-4.86639,130.226,3.63614,81.074,-0.00863256,1
-9.98495,127.45,3.65419,81.6614,-0.00849616,1
-14.4519,124.93,3.66998,82.1674,-0.00845258,1
-18.906,122.324,3.68563,82.666,-0.0081814,1
-23.9787,119.243,3.70323,83.2273,-0.00770078,1
-29.031,116.053,3.72038,83.7794,-0.00726941,1
-33.4341,113.174,3.73484,84.255,-0.00681346,1
-38.4453,109.788,3.75083,84.7903,-0.00667185,1
-43.4341,106.302,3.76598,85.317,-0.0055665,1
-48.4014,102.722,3.77999,85.8352,-0.00499681,1
-53.3485,99.0516,3.79317,86.345,-0.00516042,1
-58.2752,95.2939,3.80603,86.8463,-0.00551996,1
-63.1805,91.4506,3.81873,87.3394,-0.00546566,1
-67.4543,88.0184,3.82973,87.7643,-0.00543774,1
-72.3163,84.0172,3.84246,88.2423,-0.00586408,1
-76.5489,80.4468,3.85384,88.6541,-0.00606863,1
-81.3592,76.2865,3.86711,89.1174,-0.00611835,1
-86.1379,72.0404,3.88073,89.573,-0.00630243,1
-90.2904,68.2535,3.89311,89.9653,-0.00688322,1
-94.9919,63.8485,3.90792,90.1055,-0.00729391,0.796609
-99.617,59.3839,3.92334,89.6014,-0.00743042,0.426034
-104.103,54.9193,3.93904,87.344,-0.00766578,0
-108.33,50.5817,3.95459,82.748,-0.00807376,0
-111.796,46.9206,3.96792,79.3587,-0.0084873,0.66012
-115.646,42.7327,3.98349,79.7769,-0.00913606,1
-118.98,38.9905,3.9981,80.3106,-0.00928701,1
-122.279,35.1737,4.01331,80.8359,-0.00900912,1
-125.54,31.282,4.02886,81.3542,-0.0088394,1
-128.761,27.3152,4.04465,81.8647,-0.00886766,1
-133.733,20.9287,4.0704,82.6516,-0.00963878,1
-137.273,16.1657,4.08976,83.2126,-0.00937335,1
-140.31,11.9218,4.10669,83.4811,-0.00870048,0.830114
-143.697,7.00781,4.12575,83.3497,-0.0086621,0.596761
-146.978,2.04926,4.14485,82.9243,-0.00946811,0.464739
-150.527,-3.56021,4.16693,82.0995,-0.010469,0.297461
-153.536,-8.54996,4.18742,80.9181,-0.0114531,0.0325526
-156.354,-13.4468,4.20861,77.2232,-0.0129381,0
-159.233,-18.7276,4.23333,72.7902,-0.0145311,0
-161.543,-23.2182,4.25615,69.6245,-0.0160776,0.483756
-163.452,-27.1496,4.27794,70.1062,-0.0181358,1
-165.54,-31.7425,4.30611,70.8711,-0.0191698,1
-167.506,-36.4293,4.33683,71.1367,-0.0192479,0.687329
-169.494,-41.6339,4.3725,67.339,-0.0204353,0
-170.837,-45.5052,4.39983,64.0801,-0.0207232,0
-172.013,-49.2193,4.42665,60.8842,-0.0209163,0
-173.034,-52.7818,4.453,58.7371,-0.0232099,0.745108
-174.077,-56.8849,4.48472,59.6036,-0.0236921,1
-174.997,-61.0863,4.51837,60.5415,-0.0231001,1
-175.784,-65.382,4.55341,61.4635,-0.0236497,1
-176.496,-70.3221,4.59502,62.4814,-0.0254068,1
-176.957,-74.7902,4.63451,62.9965,-0.027383,0.765243
-177.234,-79.1767,4.67524,59.8668,-0.029199,0
-177.327,-82.8105,4.71069,56.7546,-0.0315315,0
-177.255,-87.2007,4.75735,52.8409,-0.0353289,0
-177.064,-90.4044,4.79389,50.8278,-0.0373437,0.531138
-176.746,-93.5952,4.83293,51.639,-0.039493,1
-176.126,-97.7575,4.88867,52.8337,-0.0415861,1
-175.355,-101.499,4.94294,53.8751,-0.044295,1
-174.374,-105.213,5.00005,53.3828,-0.0443615,0.0715261
-173.231,-108.736,5.05593,50.3026,-0.0437097,0
-171.986,-111.968,5.1082,46.9692,-0.0435908,0
-170.647,-114.964,5.15764,46.0894,-0.0447198,1
-169.326,-117.568,5.20278,47.1015,-0.046086,1
-167.629,-120.531,5.25707,48.2397,-0.046693,1
-165.975,-123.099,5.30677,49.22,-0.0479679,1
-164.16,-125.63,5.35809,50.1866,-0.0470964,1
-161.885,-128.462,5.41743,51.2747,-0.0451954,1
-159.399,-131.216,5.47612,52.3462,-0.041909,1
-156.706,-133.878,5.53375,53.3987,-0.0407477,1
-154.184,-136.119,5.58373,54.3048,-0.0403664,1
-151.117,-138.568,5.64068,55.324,-0.0397044,1
-148.276,-140.602,5.68993,56.2019,-0.0374654,1
-144.859,-142.794,5.7445,57.1914,-0.0343897,1
-141.729,-144.591,5.79037,58.0438,-0.0321554,1
-138.001,-146.503,5.84049,59.0035,-0.0301375,1
-135.105,-147.836,5.8764,59.7138,-0.0275466,1
-131.123,-149.48,5.92115,60.6476,-0.0242786,1
-127.532,-150.796,5.95758,61.4527,-0.0224625,1
-123.85,-152.002,5.99151,62.2467,-0.0201935,1
-120.084,-153.101,6.0229,63.0302,-0.0181375,1
-115.683,-154.231,6.05654,63.9114,-0.0181276,1
-111.186,-155.229,6.08814,64.7789,-0.0163812,1
-107.179,-156,6.11356,65.5275,-0.0132114,1
-103.108,-156.681,6.13639,66.2658,-0.0110757,1
-98.9776,-157.279,6.1573,66.9934,-0.0115367,1
-94.7911,-157.798,6.17691,67.7109,-0.0107821,1
-89.9412,-158.298,6.19741,68.5188,-0.00890405,1
-85.0254,-158.708,6.21542,69.3142,-0.00672436,1
-80.047,-159.038,6.23136,70.0965,-0.00677342,1
-75.6416,-159.263,6.24451,70.7704,-0.00762555,1
-71.1918,-159.43,6.25748,71.4347,-0.00780903,1
-66.0536,-159.551,6.27215,72.1823,-0.0077247,1
-60.8612,-159.596,0.00337409,72.9179,-0.00712379,1
-56.275,-159.573,0.0158411,73.5514,-0.00750054,1
-51.6501,-159.492,0.0285467,74.1757,-0.0081847,1
-46.319,-159.325,0.0435219,74.8781,-0.00824076,1
-40.9422,-159.075,0.0585611,75.5584,-0.00793913,1
-35.5174,-158.74,0.0740802,76.2996,-0.00765321,1
-30.7389,-158.374,0.0876578,76.7997,-0.0089926,1
-25.2411,-157.872,0.103426,77.482,-0.00764573,1
-19.7044,-157.283,0.118102,78.1239,-0.00515751,1
-14.8296,-156.702,0.12923,78.6803,-0.00332082,1
-9.22413,-155.971,0.14015,79.3073,-0.00334489,1
-3.5824,-155.176,0.149065,79.9236,-0.00151416,1
1.38437,-154.44,0.154364,80.4552,0.00169848,1
7.0969,-153.567,0.156833,81.0534,0.00368677,1
12.1286,-152.79,0.156276,81.5689,0.00403475,1
17.9183,-151.901,0.153548,82.1489,0.00357342,1
23.751,-151.02,0.14908,82.7193,0.00427509,1
28.8904,-150.264,0.143866,83.2106,0.00468985,1
34.0633,-149.527,0.138568,83.6948,0.00175424,1
40.0152,-148.705,0.133729,84.2396,0.000262116,1
46.0082,-147.899,0.130292,84.7753,-6.05245e-05,1
52.0407,-147.103,0.128726,85.3021,-0.0021472,1
58.1102,-146.301,0.130443,85.82,-0.00576972,1
64.9384,-145.368,0.138311,85.3407,-0.0102133,0.396508
70.1518,-144.619,0.147854,82.8887,-0.0127108,0
75.8191,-143.727,0.16446,78.1173,-0.0163439,0
81.1732,-142.788,0.185614,74.3714,-0.0205129,0
86.8467,-141.646,0.217685,69.9676,-0.0274279,0
91.5686,-140.532,0.253055,66.1871,-0.0311241,0
95.9883,-139.314,0.293793,62.4836,-0.0347798,0
100.593,-137.809,0.347546,58.4124,-0.0446443,0
104.803,-136.159,0.406841,54.4491,-0.0453287,0
107.806,-134.793,0.453628,51.4382,-0.0452459,0
111.322,-132.951,0.515533,47.6528,-0.0524881,0
113.787,-131.466,0.566895,44.7698,-0.0632304,0
116.318,-129.726,0.629294,41.5492,-0.0684332,0
118.549,-127.961,0.693093,38.4069,-0.0715386,0
120.263,-126.417,0.749781,35.7151,-0.0801035,0
122.341,-124.244,0.832149,31.9675,-0.0869175,0
123.413,-122.949,0.881222,31.6139,-0.0912687,1
124.769,-121.071,0.955043,32.9971,-0.0996341,1
125.869,-119.274,1.02766,34.1876,-0.105776,1
126.866,-117.333,1.10522,35.367,-0.103092,1
127.739,-115.254,1.18497,36.5325,-0.0989766,1
128.469,-113.045,1.26665,37.6773,-0.0997878,1
129.101,-110.373,1.36225,38.9648,-0.0980353,1
129.46,-107.921,1.44607,40.0779,-0.0913589,1
129.628,-105.379,1.52723,41.1786,-0.0817305,1
129.612,-102.764,1.60393,42.2613,-0.0727375,1
129.409,-100.089,1.67559,43.3263,-0.0658064,1
128.943,-96.977,1.75142,44.5284,-0.0586838,1
128.338,-94.2191,1.81331,45.5644,-0.0541313,1
127.556,-91.4388,1.87017,46.589,-0.0449898,1
126.612,-88.642,1.92059,47.6009,-0.0357854,1
125.352,-85.4299,1.97017,48.7397,-0.0294148,1
124.105,-82.6077,2.00792,49.7205,-0.0259468,1
122.938,-80.1807,2.03636,50.5508,-0.0205077,1
121.472,-77.3384,2.06467,51.5073,-0.015727,1
119.905,-74.4827,2.08862,52.4498,-0.0137728,1
118.008,-71.197,2.10927,53.5121,-0.00420952,1
116.27,-68.296,2.12183,54.4269,-0.00272781,1
114.204,-64.9475,2.13376,55.4556,-0.00725866,1
112.332,-61.9869,2.14232,56.3428,-0.00219479,1
110.129,-58.5648,2.14978,57.341,-0.00248999,1
108.145,-55.5371,2.15666,58.2002,-0.00799459,1
106.105,-52.483,2.16576,59.0467,-0.0110337,1
102.775,-47.64,2.18302,60.3531,-0.00963516,1
99.6123,-43.1976,2.19906,61.5156,-0.00737918,1
96.6609,-39.1666,2.2108,62.5418,-0.00231293,1
93.6307,-35.0922,2.21544,63.5487,0.00699087,1
89.5495,-29.5356,2.19842,64.8563,0.0237986,1
86.3367,-24.9211,2.16518,60.8385,0.0312111,0
83.0137,-19.6692,2.10599,55.5044,0.0430524,0
80.5307,-15.0984,2.03257,50.7583,0.057951,0
78.7851,-11.1373,1.94621,46.5481,0.080087,0
77.5615,-7.37441,1.84098,42.4456,0.0979372,0
76.8123,-3.51062,1.71256,38.0771,0.108667,0
76.6377,0.593585,1.55723,33.104,0.118796,0
76.8716,3.0947,1.45159,29.7622,0.131522,0
